,chemical_formula_descriptive
3124,C5CrHfMoTiW
3125,C5CrHfMoTiW
3126,C5CrHfMoTiW
3127,C5CrHfMoTiW
3128,C5CrHfMoTiW
3129,C5CrHfMoTiW
3130,C5CrHfMoTiW
3131,C5CrHfMoTiW
3132,C5CrHfMoTiW
3133,C5CrHfMoTiW
3134,C5CrHfMoTiW
3135,C5CrHfMoTiW
3136,C5CrHfMoTiW
3137,C5CrHfTaWZr
3138,C5CrHfTaWZr
3139,C5CrHfTaWZr
3140,C5CrHfTaWZr
3141,C5CrHfTaWZr
3142,C5CrHfTaWZr
3143,C5CrHfTaWZr
3144,C5CrHfTaWZr
3145,C5CrHfTaWZr
3146,C5CrHfTaWZr
3147,C5CrHfTaWZr
3148,C5CrHfTaWZr
3149,C5CrHfTaWZr
3150,C5CrHfTaWZr
3151,C5CrHfTaWZr
3152,C5CrHfTaWZr
3153,C5CrHfTaWZr
3154,C5CrHfTaWZr
3155,C5CrHfTaWZr
3156,C5CrHfTaWZr
3157,C5CrHfTaWZr
3158,C5CrHfTaWZr
3159,C5CrHfTaWZr
3160,C5CrHfTaWZr
3161,C5CrHfTaWZr
3162,C5CrHfTaWZr
3163,C5CrHfTaWZr
3164,C5CrHfTaWZr
3165,C5CrHfTaWZr
3166,C5CrHfTaWZr
3167,C5CrHfTaWZr
3168,C5CrHfTaWZr
3169,C5CrHfTaWZr
3170,C5CrHfTaWZr
3171,C5CrHfTaWZr
3172,C5CrHfTaWZr
3173,C5CrHfTaWZr
3174,C5CrHfTaWZr
3175,C5CrHfTaWZr
3176,C5CrHfTaWZr
3177,C5CrHfTaWZr
3178,C5CrHfTaWZr
3179,C5CrHfTaWZr
3180,C5CrHfTaWZr
3181,C5CrHfTaWZr
3182,C5CrHfTaWZr
3183,C5CrHfTaWZr
3184,C5CrHfTaWZr
3185,C5CrHfTaWZr
3186,C5CrHfTaWZr
3187,C5CrHfTaWZr
3188,C5CrHfTaWZr
3189,C5CrHfTaWZr
3190,C5CrHfTaWZr
3191,C5CrHfTaWZr
3192,C5CrHfTaWZr
3193,C5CrHfTaWZr
3194,C5CrHfTaWZr
3195,C5CrHfTaWZr
3196,C5CrHfTaWZr
3197,C5CrHfTaWZr
3198,C5CrHfTaWZr
3199,C5CrHfTaWZr
3200,C5CrHfTaWZr
3201,C5CrHfTaWZr
3202,C5CrHfTaWZr
3203,C5CrHfTaWZr
3204,C5CrHfTaWZr
3205,C5CrHfTaWZr
3206,C5CrHfTaWZr
3207,C5CrHfTaWZr
3208,C5CrHfTaWZr
3209,C5CrHfTaWZr
3210,C5CrHfTaWZr
3211,C5CrHfTaWZr
3212,C5CrHfTaWZr
3213,C5CrHfTaWZr
3214,C5CrHfTaWZr
3215,C5CrHfTaWZr
3216,C5CrHfTaWZr
3217,C5CrHfTaWZr
3218,C5CrHfTaWZr
3219,C5CrHfTaWZr
3220,C5CrHfTaWZr
3221,C5CrHfTaWZr
3222,C5CrHfTaWZr
3223,C5CrHfTaWZr
3224,C5CrHfTaWZr
3225,C5CrHfTaWZr
3226,C5CrHfTaWZr
3227,C5CrHfTaWZr
3228,C5CrHfTaWZr
3229,C5CrHfTaWZr
3230,C5CrHfTaWZr
3231,C5CrHfTaWZr
3232,C5CrHfTaWZr
3233,C5CrHfTaWZr
3234,C5CrHfTaWZr
3235,C5CrHfTaWZr
3236,C5CrHfTaWZr
3237,C5CrHfTaWZr
3238,C5CrHfTaWZr
3239,C5CrHfTaWZr
3240,C5CrHfTaWZr
3241,C5CrHfTaWZr
3242,C5CrHfTaWZr
3243,C5CrHfTaWZr
3244,C5CrHfTaWZr
3245,C5CrHfTaWZr
3246,C5CrHfTaWZr
3247,C5CrHfTaWZr
3248,C5CrHfTaWZr
3249,C5CrHfTaWZr
3250,C5CrHfTaWZr
3251,C5CrHfTaWZr
3252,C5CrHfTaWZr
3253,C5CrHfTaWZr
3254,C5CrHfTaWZr
3255,C5CrHfTaWZr
3256,C5CrHfTaWZr
3257,C5CrHfTaWZr
3258,C5CrHfTaWZr
3259,C5CrHfTaWZr
3260,C5CrHfTaWZr
3261,C5CrHfTaWZr
3262,C5CrHfTaWZr
3263,C5CrHfTaWZr
3264,C5CrHfTaWZr
3265,C5CrHfTaWZr
3266,C5CrHfTaWZr
3267,C5CrHfTaWZr
3268,C5CrHfTaWZr
3269,C5CrHfTaWZr
3270,C5CrHfTaWZr
3271,C5CrHfTaWZr
3272,C5CrHfTaWZr
3273,C5CrHfTaWZr
3274,C5CrHfTaWZr
3275,C5CrHfTaWZr
3276,C5CrHfTaWZr
3277,C5CrHfTaWZr
3278,C5CrHfTaWZr
3279,C5CrHfTaWZr
3280,C5CrHfTaWZr
3281,C5CrHfTaWZr
3282,C5CrHfTaWZr
3283,C5CrHfTaWZr
3284,C5CrMoNbTaW
3285,C5CrMoNbTaW
3286,C5CrMoNbTaW
3287,C5CrMoNbTaW
3288,C5CrMoNbTaW
3289,C5CrMoNbTaW
3290,C5CrMoNbTaW
3291,C5CrMoNbTaW
3292,C5CrMoNbTaW
3293,C5CrMoNbTaW
3294,C5CrMoNbTaW
3295,C5CrMoNbTaW
3296,C5CrMoNbTaW
3297,C5CrMoNbTaW
3298,C5CrMoNbTaW
3299,C5CrMoNbTaW
3300,C5CrMoNbTaW
3301,C5CrMoNbTaW
3302,C5CrMoNbTaW
3303,C5CrMoNbTaW
3304,C5CrMoNbTaW
3305,C5CrMoNbTaW
3306,C5CrMoNbTaW
3307,C5CrMoNbTaW
3308,C5CrMoNbTaW
3309,C5CrMoNbTaW
3310,C5CrMoNbTaW
3311,C5CrMoNbTaW
3312,C5CrMoNbTaW
3313,C5CrMoNbTaW
3314,C5CrMoNbTaW
3315,C5CrMoNbTaW
3316,C5CrMoNbTaW
3317,C5CrMoNbTaW
3318,C5CrMoNbTaW
3319,C5CrMoNbTaW
3320,C5CrMoNbTaW
3321,C5CrMoNbTaW
3322,C5CrMoNbTaW
3323,C5CrMoNbTaW
3324,C5CrMoNbTaW
3325,C5CrMoNbTaW
3326,C5CrMoNbTaW
3327,C5CrMoNbTaW
3328,C5CrMoNbTaW
3329,C5CrMoNbTaW
3330,C5CrMoNbTaW
3331,C5CrMoNbTaW
3332,C5CrMoNbTaW
3333,C5CrMoNbTaW
3334,C5CrMoNbTaW
3335,C5CrMoNbTaW
3336,C5CrMoNbTaW
3337,C5CrMoNbTaW
3338,C5CrMoNbTaW
3339,C5CrMoNbTaW
3340,C5CrMoNbTaW
3341,C5CrMoNbTaW
3342,C5CrMoNbTaW
3343,C5CrMoNbTaW
3344,C5CrMoNbTaW
3345,C5CrMoNbTaW
3346,C5CrMoNbTaW
3347,C5CrMoNbTaW
3348,C5CrMoNbTaW
3349,C5CrMoNbTaW
3350,C5CrMoNbTaW
3351,C5CrMoNbTaW
3352,C5CrMoNbTaW
3353,C5CrMoNbTaW
3354,C5CrMoNbTaW
3355,C5CrMoNbTaW
3356,C5CrMoNbTaW
3357,C5CrMoNbTaW
3358,C5CrMoNbTaW
3359,C5CrMoNbTaW
3360,C5CrMoNbTaW
3361,C5CrMoNbTaW
3362,C5CrMoNbTaW
3363,C5CrMoNbTaW
3364,C5CrMoNbTaW
3365,C5CrMoNbTaW
3366,C5CrMoNbTaW
3367,C5CrMoNbTaW
3368,C5CrMoNbTaW
3369,C5CrMoNbTaW
3370,C5CrMoNbTaW
3371,C5CrMoNbTaW
3372,C5CrMoNbTaW
3373,C5CrMoNbTaW
3374,C5CrMoNbTaW
3375,C5CrMoNbTaW
3376,C5CrMoNbTaW
3377,C5CrMoNbTaW
3378,C5CrMoNbTaW
3379,C5CrMoNbTaW
3380,C5CrMoNbTaW
3381,C5CrMoNbTaW
3382,C5CrMoNbTaW
3383,C5CrMoNbTaW
3384,C5CrMoNbTaW
3385,C5CrMoNbTaW
3386,C5CrMoNbTaW
3387,C5CrMoNbTaW
3388,C5CrMoNbTaW
3389,C5CrMoNbTaW
3390,C5CrMoNbTaW
3391,C5CrMoNbTaW
3392,C5CrMoNbTaW
3393,C5CrMoNbTaW
3394,C5CrMoNbTaW
3395,C5CrMoNbTaW
3396,C5CrMoNbTaW
3397,C5CrMoNbTaW
3398,C5CrMoNbTaW
3399,C5CrMoNbTaW
3400,C5CrMoNbTaW
3401,C5CrMoNbTaW
3402,C5CrMoNbTaW
3403,C5CrMoNbTaW
3404,C5CrMoNbTaW
3405,C5CrMoNbTaW
3406,C5CrMoNbTaW
3407,C5CrMoNbTaW
3408,C5CrMoNbTaW
3409,C5CrMoNbTaW
3410,C5CrMoNbTaW
3411,C5CrMoNbTaW
3412,C5CrMoNbTaW
3413,C5CrMoNbTaW
3414,C5CrMoNbTaW
3415,C5CrMoNbTaW
3416,C5CrMoNbTaW
3417,C5CrMoNbTaW
3418,C5CrMoNbTaW
3419,C5CrMoNbTaW
3420,C5CrMoNbTaW
3421,C5CrMoNbTaW
3422,C5CrMoNbTaW
3423,C5CrMoNbTaW
3424,C5CrMoNbTaW
3425,C5CrMoNbTaW
3426,C5CrMoNbTaW
3427,C5CrMoNbTaW
3428,C5CrMoNbTaW
3429,C5CrMoNbTaW
3430,C5CrMoNbTaW
3431,C5CrMoNbVW
3432,C5CrMoNbVW
3433,C5CrMoNbVW
3434,C5CrMoNbVW
3435,C5CrMoNbVW
3436,C5CrMoNbVW
3437,C5CrMoNbVW
3438,C5CrMoNbVW
3439,C5CrMoNbVW
3440,C5CrMoNbVW
3441,C5CrMoNbVW
3442,C5CrMoNbVW
3443,C5CrMoNbVW
3444,C5CrMoNbVW
3445,C5CrMoNbVW
3446,C5CrMoNbVW
3447,C5CrMoNbVW
3448,C5CrMoNbVW
3449,C5CrMoNbVW
3450,C5CrMoNbVW
3451,C5CrMoNbVW
3452,C5CrMoNbVW
3453,C5CrMoNbVW
3454,C5CrMoNbVW
3455,C5CrMoNbVW
3456,C5CrMoNbVW
3457,C5CrMoNbVW
3458,C5CrMoNbVW
3459,C5CrMoNbVW
3460,C5CrMoNbVW
3461,C5CrMoNbVW
3462,C5CrMoNbVW
3463,C5CrMoNbVW
3464,C5CrMoNbVW
3465,C5CrMoNbVW
3466,C5CrMoNbVW
3467,C5CrMoNbVW
3468,C5CrMoNbVW
3469,C5CrMoNbVW
3470,C5CrMoNbVW
3471,C5CrMoNbVW
3472,C5CrMoNbVW
3473,C5CrMoNbVW
3474,C5CrMoNbVW
3475,C5CrMoNbVW
3476,C5CrMoNbVW
3477,C5CrMoNbVW
3478,C5CrMoNbVW
3479,C5CrMoNbVW
3480,C5CrMoNbVW
3481,C5CrMoNbVW
3482,C5CrMoNbVW
3483,C5CrMoNbVW
3484,C5CrMoNbVW
3485,C5CrMoNbVW
3486,C5CrMoNbVW
3487,C5CrMoNbVW
3488,C5CrMoNbVW
3489,C5CrMoNbVW
3490,C5CrMoNbVW
3491,C5CrMoNbVW
3492,C5CrMoNbVW
3493,C5CrMoNbVW
3494,C5CrMoNbVW
3495,C5CrMoNbVW
3496,C5CrMoNbVW
3497,C5CrMoNbVW
3498,C5CrMoNbVW
3499,C5CrMoNbVW
3500,C5CrMoNbVW
3501,C5CrMoNbVW
3502,C5CrMoNbVW
3503,C5CrMoNbVW
3504,C5CrMoNbVW
3505,C5CrMoNbVW
3506,C5CrMoNbVW
3507,C5CrMoNbVW
3508,C5CrMoNbVW
3509,C5CrMoNbVW
3510,C5CrMoNbVW
3511,C5CrMoNbVW
3512,C5CrMoNbVW
3513,C5CrMoNbVW
3514,C5CrMoNbVW
3515,C5CrMoNbVW
3516,C5CrMoNbVW
3517,C5CrMoNbVW
3518,C5CrMoNbVW
3519,C5CrMoNbVW
3520,C5CrMoNbVW
3521,C5CrMoNbVW
3522,C5CrMoNbVW
3523,C5CrMoNbVW
3524,C5CrMoNbVW
3525,C5CrMoNbVW
3526,C5CrMoNbVW
3527,C5CrMoNbVW
3528,C5CrMoNbVW
3529,C5CrMoNbVW
3530,C5CrMoNbVW
3531,C5CrMoNbVW
3532,C5CrMoNbVW
3533,C5CrMoNbVW
3534,C5CrMoNbVW
3535,C5CrMoNbVW
3536,C5CrMoNbVW
3537,C5CrMoNbVW
3538,C5CrMoNbVW
3539,C5CrMoNbVW
3540,C5CrMoNbVW
3541,C5CrMoNbVW
3542,C5CrMoNbVW
3543,C5CrMoNbVW
3544,C5CrMoNbVW
3545,C5CrMoNbVW
3546,C5CrMoNbVW
3547,C5CrMoNbVW
3548,C5CrMoNbVW
3549,C5CrMoNbVW
3550,C5CrMoNbVW
3551,C5CrMoNbVW
3552,C5CrMoNbVW
3553,C5CrMoNbVW
3554,C5CrMoNbVW
3555,C5CrMoNbVW
3556,C5CrMoNbVW
3557,C5CrMoNbVW
3558,C5CrMoNbVW
3559,C5CrMoNbVW
3560,C5CrMoNbVW
3561,C5CrMoNbVW
3562,C5CrMoNbVW
3563,C5CrMoNbVW
3564,C5CrMoNbVW
3565,C5CrMoNbVW
3566,C5CrMoNbVW
3567,C5CrMoNbVW
3568,C5CrMoNbVW
3569,C5CrMoNbVW
3570,C5CrMoNbVW
3571,C5CrMoNbVW
3572,C5CrMoNbVW
3573,C5CrMoNbVW
3574,C5CrMoNbVW
3575,C5CrMoNbVW
3576,C5CrMoNbVW
3577,C5CrMoNbVW
3578,C5CrMoTaVW
3579,C5CrMoTaVW
3580,C5CrMoTaVW
3581,C5CrMoTaVW
3582,C5CrMoTaVW
3583,C5CrMoTaVW
3584,C5CrMoTaVW
3585,C5CrMoTaVW
3586,C5CrMoTaVW
3587,C5CrMoTaVW
3588,C5CrMoTaVW
3589,C5CrMoTaVW
3590,C5CrMoTaVW
3591,C5CrMoTaVW
3592,C5CrMoTaVW
3593,C5CrMoTaVW
3594,C5CrMoTaVW
3595,C5CrMoTaVW
3596,C5CrMoTaVW
3597,C5CrMoTaVW
3598,C5CrMoTaVW
3599,C5CrMoTaVW
3600,C5CrMoTaVW
3601,C5CrMoTaVW
3602,C5CrMoTaVW
3603,C5CrMoTaVW
3604,C5CrMoTaVW
3605,C5CrMoTaVW
3606,C5CrMoTaVW
3607,C5CrMoTaVW
3608,C5CrMoTaVW
3609,C5CrMoTaVW
3610,C5CrMoTaVW
3611,C5CrMoTaVW
3612,C5CrMoTaVW
3613,C5CrMoTaVW
3614,C5CrMoTaVW
3615,C5CrMoTaVW
3616,C5CrMoTaVW
3617,C5CrMoTaVW
3618,C5CrMoTaVW
3619,C5CrMoTaVW
3620,C5CrMoTaVW
3621,C5CrMoTaVW
3622,C5CrMoTaVW
3623,C5CrMoTaVW
3624,C5CrMoTaVW
3625,C5CrMoTaVW
3626,C5CrMoTaVW
3627,C5CrMoTaVW
3628,C5CrMoTaVW
3629,C5CrMoTaVW
3630,C5CrMoTaVW
3631,C5CrMoTaVW
3632,C5CrMoTaVW
3633,C5CrMoTaVW
3634,C5CrMoTaVW
3635,C5CrMoTaVW
3636,C5CrMoTaVW
3637,C5CrMoTaVW
3638,C5CrMoTaVW
3639,C5CrMoTaVW
3640,C5CrMoTaVW
3641,C5CrMoTaVW
3642,C5CrMoTaVW
3643,C5CrMoTaVW
3644,C5CrMoTaVW
3645,C5CrMoTaVW
3646,C5CrMoTaVW
3647,C5CrMoTaVW
3648,C5CrMoTaVW
3649,C5CrMoTaVW
3650,C5CrMoTaVW
3651,C5CrMoTaVW
3652,C5CrMoTaVW
3653,C5CrMoTaVW
3654,C5CrMoTaVW
3655,C5CrMoTaVW
3656,C5CrMoTaVW
3657,C5CrMoTaVW
3658,C5CrMoTaVW
3659,C5CrMoTaVW
3660,C5CrMoTaVW
3661,C5CrMoTaVW
3662,C5CrMoTaVW
3663,C5CrMoTaVW
3664,C5CrMoTaVW
3665,C5CrMoTaVW
3666,C5CrMoTaVW
3667,C5CrMoTaVW
3668,C5CrMoTaVW
3669,C5CrMoTaVW
3670,C5CrMoTaVW
3671,C5CrMoTaVW
3672,C5CrMoTaVW
3673,C5CrMoTaVW
3674,C5CrMoTaVW
3675,C5CrMoTaVW
3676,C5CrMoTaVW
3677,C5CrMoTaVW
3678,C5CrMoTaVW
3679,C5CrMoTaVW
3680,C5CrMoTaVW
3681,C5CrMoTaVW
3682,C5CrMoTaVW
3683,C5CrMoTaVW
3684,C5CrMoTaVW
3685,C5CrMoTaVW
3686,C5CrMoTaVW
3687,C5CrMoTaVW
3688,C5CrMoTaVW
3689,C5CrMoTaVW
3690,C5CrMoTaVW
3691,C5CrMoTaVW
3692,C5CrMoTaVW
3693,C5CrMoTaVW
3694,C5CrMoTaVW
3695,C5CrMoTaVW
3696,C5CrMoTaVW
3697,C5CrMoTaVW
3698,C5CrMoTaVW
3699,C5CrMoTaVW
3700,C5CrMoTaVW
3701,C5CrMoTaVW
3702,C5CrMoTaVW
3703,C5CrMoTaVW
3704,C5CrMoTaVW
3705,C5CrMoTaVW
3706,C5CrMoTaVW
3707,C5CrMoTaVW
3708,C5CrMoTaVW
3709,C5CrMoTaVW
3710,C5CrMoTaVW
3711,C5CrMoTaVW
3712,C5CrMoTaVW
3713,C5CrMoTaVW
3714,C5CrMoTaVW
3715,C5CrMoTaVW
3716,C5CrMoTaVW
3717,C5CrMoTaVW
3718,C5CrMoTaVW
3719,C5CrMoTaVW
3720,C5CrMoTaVW
3721,C5CrMoTaVW
3722,C5CrMoTaVW
3723,C5CrMoTaVW
3724,C5CrMoTaVW
3725,C5CrMoTiWZr
3726,C5CrMoTiWZr
3727,C5CrMoTiWZr
3728,C5CrMoTiWZr
3729,C5CrMoTiWZr
3730,C5CrMoTiWZr
3731,C5CrMoTiWZr
3732,C5CrMoTiWZr
3733,C5CrMoTiWZr
3734,C5CrMoTiWZr
3735,C5CrMoTiWZr
3736,C5CrMoTiWZr
3737,C5CrMoTiWZr
3738,C5CrMoTiWZr
3739,C5CrMoTiWZr
3740,C5CrMoTiWZr
3741,C5CrMoTiWZr
3742,C5CrMoTiWZr
3743,C5CrMoTiWZr
3744,C5CrMoTiWZr
3745,C5CrMoTiWZr
3746,C5CrMoTiWZr
3747,C5CrMoTiWZr
3748,C5CrMoTiWZr
3749,C5CrMoTiWZr
3750,C5CrMoTiWZr
3751,C5CrMoTiWZr
3752,C5CrMoTiWZr
3753,C5CrMoTiWZr
3754,C5CrMoTiWZr
3755,C5CrMoTiWZr
3756,C5CrMoTiWZr
3757,C5CrMoTiWZr
3758,C5CrMoTiWZr
3759,C5CrMoTiWZr
3760,C5CrMoTiWZr
3761,C5CrMoTiWZr
3762,C5CrMoTiWZr
3763,C5CrMoTiWZr
3764,C5CrMoTiWZr
3765,C5CrMoTiWZr
3766,C5CrMoTiWZr
3767,C5CrMoTiWZr
3768,C5CrMoTiWZr
3769,C5CrMoTiWZr
3770,C5CrMoTiWZr
3771,C5CrMoTiWZr
3772,C5CrMoTiWZr
3773,C5CrMoTiWZr
3774,C5CrMoTiWZr
3775,C5CrMoTiWZr
3776,C5CrMoTiWZr
3777,C5CrMoTiWZr
3778,C5CrMoTiWZr
3779,C5CrMoTiWZr
3780,C5CrMoTiWZr
3781,C5CrMoTiWZr
3782,C5CrMoTiWZr
3783,C5CrMoTiWZr
3784,C5CrMoTiWZr
3785,C5CrMoTiWZr
3786,C5CrMoTiWZr
3787,C5CrMoTiWZr
3788,C5CrMoTiWZr
3789,C5CrMoTiWZr
3790,C5CrMoTiWZr
3791,C5CrMoTiWZr
3792,C5CrMoTiWZr
3793,C5CrMoTiWZr
3794,C5CrMoTiWZr
3795,C5CrMoTiWZr
3796,C5CrMoTiWZr
3797,C5CrMoTiWZr
3798,C5CrMoTiWZr
3799,C5CrMoTiWZr
3800,C5CrMoTiWZr
3801,C5CrMoTiWZr
3802,C5CrMoTiWZr
3803,C5CrMoTiWZr
3804,C5CrMoTiWZr
3805,C5CrMoTiWZr
3806,C5CrMoTiWZr
3807,C5CrMoTiWZr
3808,C5CrMoTiWZr
3809,C5CrMoTiWZr
3810,C5CrMoTiWZr
3811,C5CrMoTiWZr
3812,C5CrMoTiWZr
3813,C5CrMoTiWZr
3814,C5CrMoTiWZr
3815,C5CrMoTiWZr
3816,C5CrMoTiWZr
3817,C5CrMoTiWZr
3818,C5CrMoTiWZr
3819,C5CrMoTiWZr
3820,C5CrMoTiWZr
3821,C5CrMoTiWZr
3822,C5CrMoTiWZr
3823,C5CrMoTiWZr
3824,C5CrMoTiWZr
3825,C5CrMoTiWZr
3826,C5CrMoTiWZr
3827,C5CrMoTiWZr
3828,C5CrMoTiWZr
3829,C5CrMoTiWZr
3830,C5CrMoTiWZr
3831,C5CrMoTiWZr
3832,C5CrMoTiWZr
3833,C5CrMoTiWZr
3834,C5CrMoTiWZr
3835,C5CrMoTiWZr
3836,C5CrMoTiWZr
3837,C5CrMoTiWZr
3838,C5CrMoTiWZr
3839,C5CrMoTiWZr
3840,C5CrMoTiWZr
3841,C5CrMoTiWZr
3842,C5CrMoTiWZr
3843,C5CrMoTiWZr
3844,C5CrMoTiWZr
3845,C5CrMoTiWZr
3846,C5CrMoTiWZr
3847,C5CrMoTiWZr
3848,C5CrMoTiWZr
3849,C5CrMoTiWZr
3850,C5CrMoTiWZr
3851,C5CrMoTiWZr
3852,C5CrMoTiWZr
3853,C5CrMoTiWZr
3854,C5CrMoTiWZr
3855,C5CrMoTiWZr
3856,C5CrMoTiWZr
3857,C5CrMoTiWZr
3858,C5CrMoTiWZr
3859,C5CrMoTiWZr
3860,C5CrMoTiWZr
3861,C5CrMoTiWZr
3862,C5CrMoTiWZr
3863,C5CrMoTiWZr
3864,C5CrMoTiWZr
3865,C5CrMoTiWZr
3866,C5CrMoTiWZr
3867,C5CrMoTiWZr
3868,C5CrMoTiWZr
3869,C5CrMoTiWZr
3870,C5CrMoTiWZr
3871,C5CrMoTiWZr
3872,C5HfMoNbTaW
3873,C5HfMoNbTaW
3874,C5HfMoNbTaW
3875,C5HfMoNbTaW
3876,C5HfMoNbTaW
3877,C5HfMoNbTaW
3878,C5HfMoNbTaW
3879,C5HfMoNbTaW
3880,C5HfMoNbTaW
3881,C5HfMoNbTaW
3882,C5HfMoNbTaW
3883,C5HfMoNbTaW
3884,C5HfMoNbTaW
3885,C5HfMoNbTaW
3886,C5HfMoNbTaW
3887,C5HfMoNbTaW
3888,C5HfMoNbTaW
3889,C5HfMoNbTaW
3890,C5HfMoNbTaW
3891,C5HfMoNbTaW
3892,C5HfMoNbTaW
3893,C5HfMoNbTaW
3894,C5HfMoNbTaW
3895,C5HfMoNbTaW
3896,C5HfMoNbTaW
3897,C5HfMoNbTaW
3898,C5HfMoNbTaW
3899,C5HfMoNbTaW
3900,C5HfMoNbTaW
3901,C5HfMoNbTaW
3902,C5HfMoNbTaW
3903,C5HfMoNbTaW
3904,C5HfMoNbTaW
3905,C5HfMoNbTaW
3906,C5HfMoNbTaW
3907,C5HfMoNbTaW
3908,C5HfMoNbTaW
3909,C5HfMoNbTaW
3910,C5HfMoNbTaW
3911,C5HfMoNbTaW
3912,C5HfMoNbTaW
3913,C5HfMoNbTaW
3914,C5HfMoNbTaW
3915,C5HfMoNbTaW
3916,C5HfMoNbTaW
3917,C5HfMoNbTaW
3918,C5HfMoNbTaW
3919,C5HfMoNbTaW
3920,C5HfMoNbTaW
3921,C5HfMoNbTaW
3922,C5HfMoNbTaW
3923,C5HfMoNbTaW
3924,C5HfMoNbTaW
3925,C5HfMoNbTaW
3926,C5HfMoNbTaW
3927,C5HfMoNbTaW
3928,C5HfMoNbTaW
3929,C5HfMoNbTaW
3930,C5HfMoNbTaW
3931,C5HfMoNbTaW
3932,C5HfMoNbTaW
3933,C5HfMoNbTaW
3934,C5HfMoNbTaW
3935,C5HfMoNbTaW
3936,C5HfMoNbTaW
3937,C5HfMoNbTaW
3938,C5HfMoNbTaW
3939,C5HfMoNbTaW
3940,C5HfMoNbTaW
3941,C5HfMoNbTaW
3942,C5HfMoNbTaW
3943,C5HfMoNbTaW
3944,C5HfMoNbTaW
3945,C5HfMoNbTaW
3946,C5HfMoNbTaW
3947,C5HfMoNbTaW
3948,C5HfMoNbTaW
3949,C5HfMoNbTaW
3950,C5HfMoNbTaW
3951,C5HfMoNbTaW
3952,C5HfMoNbTaW
3953,C5HfMoNbTaW
3954,C5HfMoNbTaW
3955,C5HfMoNbTaW
3956,C5HfMoNbTaW
3957,C5HfMoNbTaW
3958,C5HfMoNbTaW
3959,C5HfMoNbTaW
3960,C5HfMoNbTaW
3961,C5HfMoNbTaW
3962,C5HfMoNbTaW
3963,C5HfMoNbTaW
3964,C5HfMoNbTaW
3965,C5HfMoNbTaW
3966,C5HfMoNbTaW
3967,C5HfMoNbTaW
3968,C5HfMoNbTaW
3969,C5HfMoNbTaW
3970,C5HfMoNbTaW
3971,C5HfMoNbTaW
3972,C5HfMoNbTaW
3973,C5HfMoNbTaW
3974,C5HfMoNbTaW
3975,C5HfMoNbTaW
3976,C5HfMoNbTaW
3977,C5HfMoNbTaW
3978,C5HfMoNbTaW
3979,C5HfMoNbTaW
3980,C5HfMoNbTaW
3981,C5HfMoNbTaW
3982,C5HfMoNbTaW
3983,C5HfMoNbTaW
3984,C5HfMoNbTaW
3985,C5HfMoNbTaW
3986,C5HfMoNbTaW
3987,C5HfMoNbTaW
3988,C5HfMoNbTaW
3989,C5HfMoNbTaW
3990,C5HfMoNbTaW
3991,C5HfMoNbTaW
3992,C5HfMoNbTaW
3993,C5HfMoNbTaW
3994,C5HfMoNbTaW
3995,C5HfMoNbTaW
3996,C5HfMoNbTaW
3997,C5HfMoNbTaW
3998,C5HfMoNbTaW
3999,C5HfMoNbTaW
4000,C5HfMoNbTaW
4001,C5HfMoNbTaW
4002,C5HfMoNbTaW
4003,C5HfMoNbTaW
4004,C5HfMoNbTaW
4005,C5HfMoNbTaW
4006,C5HfMoNbTaW
4007,C5HfMoNbTaW
4008,C5HfMoNbTaW
4009,C5HfMoNbTaW
4010,C5HfMoNbTaW
4011,C5HfMoNbTaW
4012,C5HfMoNbTaW
4013,C5HfMoNbTaW
4014,C5HfMoNbTaW
4015,C5HfMoNbTaW
4016,C5HfMoNbTaW
4017,C5HfMoNbTaW
4018,C5HfMoNbTaW
4019,C5HfMoNbTaW
4020,C5HfMoNbTaW
4021,C5HfMoNbTaW
4022,C5HfMoNbTaW
4023,C5HfMoNbTaW
4024,C5HfMoNbTaW
4025,C5HfMoNbTaW
4026,C5HfMoNbTaW
4027,C5HfMoNbTaW
4028,C5HfMoNbTaW
4029,C5HfMoNbTaW
4030,C5HfMoNbTaW
4031,C5HfMoNbTaW
4032,C5HfMoNbTaW
4033,C5HfMoNbTaW
4034,C5HfMoNbTaW
4035,C5HfMoNbTaW
4036,C5HfMoNbTaW
4037,C5HfMoNbTaW
4038,C5HfMoNbTaW
4039,C5HfMoNbTaW
4040,C5HfMoNbTaW
4041,C5HfMoNbTaW
4042,C5HfMoNbTaW
4043,C5HfMoNbTaW
4044,C5HfMoNbTaW
4045,C5HfMoNbTaW
4046,C5HfMoNbTaW
4047,C5HfMoNbTaW
4048,C5HfMoNbTaW
4049,C5HfMoNbTaW
4050,C5HfMoNbTaW
4051,C5HfMoNbTaW
4052,C5HfMoNbTaW
4053,C5HfMoNbTaW
4054,C5HfMoNbTaW
4055,C5HfMoNbTaW
4056,C5HfMoNbTaW
4057,C5HfMoNbTaW
4058,C5HfMoNbTaW
4059,C5HfMoNbTaW
4060,C5HfMoNbTaW
4061,C5HfMoNbTaW
4062,C5HfMoNbTaW
4063,C5HfMoNbTaW
4064,C5HfMoNbTaW
4065,C5HfMoNbTaW
4066,C5HfMoNbTaW
4067,C5HfMoNbTaW
4068,C5HfMoNbTaW
4069,C5HfMoNbTaW
4070,C5HfMoNbTaW
4071,C5HfMoNbTaW
4072,C5HfMoNbTaW
4073,C5HfMoNbTaW
4074,C5HfMoNbTaW
4075,C5HfMoNbTaW
